plant_name,plant_code,unique_id,ba_id,nameplate
,,Solano_Wind (Generic)WT194,CISO,194
,,Solano_Wind (Generic)WT146,CISO,146
,,Solano_Wind (Generic)WT72,CISO,72
,,Solano_Wind (Generic)WT30,CISO,30
,,Solano_Wind (Generic)WT20,CISO,20
Strauss Wind Farm,62113,Strauss Wind Energy Project1WT99,CISO,99
,,Tehachapi_Wind (Generic)WT275,CISO,275
Dillon Wind LLC,56791,TIFFNY_1_DILLON1WT45,CISO,45
Tule Wind LLC,57913,Tule Wind1WT127.6,CISO,127.6
Vasco Winds,57700,Vasco Wind1WT78.2,CISO,78.2
Voyager Wind I,60594,Voyager Wind 11WT128,CISO,128
Voyager Wind II,61582,Voyager Wind 21WT128.7,CISO,128.7
Voyager Wind III,61583,Voyager Wind 31WT43.2,CISO,43.2
Voyager Wind IV,61584,Voyager Wind 41WT21.6,CISO,21.6
Oasis Alta,63941,Voyager Wind Oasis AltaWT14.4,CISO,14.4
Wagner Wind LLC,58233,Wagner Wind1WT6,CISO,6
Mohave County Wind Farm,63114,White Hills A1WT50,CISO,50
Mohave County Wind Farm,63114,White Hills B1WT300,CISO,300
Whitewater Hill Wind Partners,56012,Whitewater Hill Wind ProjectWT61.5,CISO,61.5
Tehachapi Wind Resource I,10191,Wind Resource I1WT9,CISO,9
Tehachapi Wind Resource II,54909,Wind Resource II1WT19.95,CISO,19.95
85 A,52162,Wind Wall Monolith 11WT19.85,CISO,19.85
85 B,52163,Wind Wall Monolith 21WT23.66,CISO,23.66
Windstar 1,57774,Windstar1WT120,CISO,120
Victory Garden (Tehachapi),50532,Windstream 391WT3.35,CISO,3.35
Victory Garden (Tehachapi),50532,Windstream 60401WT4.07,CISO,4.07
Victory Garden (Tehachapi),50532,Windstream 60411WT3.86,CISO,3.86
Victory Garden (Tehachapi),50532,Windstream 60421WT6.77,CISO,6.77
Victory Garden (Tehachapi),50532,Windstream 61111WT6.31,CISO,6.31
,,Windustries1WT9.8,CISO,9.8
,,"Wintec Energy, Ltd.1WT1.32",CISO,1.32
Wintec Energy Ltd,50276,WINTEC PALMWT5.93,CISO,5.93
,,Wyoming_Wind (Generic)WT1062,CISO,1062
